target	date	time	rank	urls	keyword
03	2020-01-27	01:43:25	24	https://www.youtube.com/watch?v=c-VagYoM08s	완전 신기한 물에 반응하지않는 투명보호막이 생겼습니다. 방수인간 탄생!
03	2020-01-27	01:43:25	25	https://www.youtube.com/watch?v=crDkkNh8oF0	우한폐렴, 전문가에게 전부 다~물어봤다!!
03	2020-01-27	01:43:25	26	https://www.youtube.com/watch?v=8yAyznb6s_E	IMJMWDP CEO 자리 내려놓게 되었습니다.
03	2020-01-27	01:43:25	27	https://www.youtube.com/watch?v=P5pB4aS2K8U	결국 저도 ㅎㄱ당했습니다..
03	2020-01-27	01:43:25	28	https://www.youtube.com/watch?v=QPlluSLYUEo	세계적인 선수들의 전용 축구공? 직접 차보고 비교해볼게요
03	2020-01-27	01:43:25	29	https://www.youtube.com/watch?v=sPvBKPNyNBc	매일 14숟가락씩, 38년간 2톤의 조미료를 먹었다고요?! MSG에 푹 빠진 남자 이야기!┃Condiment addict: 14 spoons every day for 38 yrs
03	2020-01-27	01:43:25	30	https://www.youtube.com/watch?v=xENnp3DDRqk	명기가.. 다시 살아 돌아왔다. 죽지않는 삼성 갤럭시S2. 최신안드로이드 10 업그레이드 도전하기!
03	2020-01-27	01:43:25	31	https://www.youtube.com/watch?v=B1btDufygt8	삼색이 때문에 낚시를 못하겠다
03	2020-01-27	01:43:25	32	https://www.youtube.com/watch?v=kMTXOFxDXhI	'-찐-' : 과몰입이 낳은 괴물들
03	2020-01-27	01:43:25	33	https://www.youtube.com/watch?v=HkZVgxyjnys	[욱토크] 스페셜 '멋쁨이라 쓰고 '장도연'이라 읽는다! 뼈그우먼 장도연 모음' /Wook Talk Special | SBS NOW
03	2020-01-27	01:43:25	34	https://www.youtube.com/watch?v=RbmxRX3Z8HU	천재적인 헤어스타일 꿀팁들 || 123 Go! 웃긴 헤어스타일링 상황과 닥칠 수 있는 문제점들
03	2020-01-27	01:43:25	35	https://www.youtube.com/watch?v=cCXF10k9IVw	원하는 거 스스로 표현하는 강아지ㅣ집사는 거들뿐
03	2020-01-27	01:43:25	36	https://www.youtube.com/watch?v=CbfaShxXRLs	우한폐렴 코로나 바이러스 발생지 실체를 공개합니다
03	2020-01-27	01:43:25	37	https://www.youtube.com/watch?v=hmF65TFBvG4	살려주세요, 꺼내주세요
03	2020-01-27	01:43:25	38	https://www.youtube.com/watch?v=rdDW5hiHy94	삼성도 포기한 일본시장LG가 완전히 초토화박살내다!
03	2020-01-27	01:43:25	39	https://www.youtube.com/watch?v=NzETQJSoTog	[Ep.85] 할머니들과 남극식 나이 먹어봤습니다
03	2020-01-27	01:43:25	40	https://www.youtube.com/watch?v=7muKdkHimms	인간을 재배해 영생을 얻는 외계종족
03	2020-01-27	01:43:25	41	https://www.youtube.com/watch?v=uSgoTfbCN6g	일본인들이 인천공항을 보며 눈물 흘리는 이유 / 한국에 다 뺏겼다며 분통폭발하는 일본 [잡식왕]
03	2020-01-27	01:43:25	42	https://www.youtube.com/watch?v=CmQxQe3SZGo	[속보] 국내 세 번째 '우한 폐렴' 확진자 발생…54세 한국인 / 연합뉴스TV (YonhapnewsTV)
